"AMD","AMZN","NKE","VALE","NOK","AAL","CCL","TGT","DQ","BAC","IWN","AMD*","AMZN*","NKE*","VALE*","NOK*","AAL*","CCL*","TGT*","DQ*","BAC*"
24.129999,1633.310059,79.765106,9.635528,5.934782,36.194733,55.224308,67.587349,6.862,26.980656,113.962738,582.256851740001,2667701.74883058,6362.47213519124,92.843399838784,35.221637387524,1310.05869694129,3049.72419407886,4568.0497448478,47.087044,727.955798190336
23.309999,1658.810059,80.611511,9.603805,5.915195,36.441425,55.585003,67.895233,6.732,26.887232,114.113937,543.356053380001,2751650.81183958,6498.21570570312,92.233070478025,34.989531888025,1327.97745603063,3089.69255851001,4609.76266412429,45.319824,722.923244621824
23.26,1640.26001,80.465553,9.00902,5.924989,36.273674,55.347706,67.652641,6.848,26.840519,113.887154,541.0276,2690452.9004052,6474.70521959581,81.1624413604,35.105494650121,1315.77942545828,3063.36855946244,4576.87983427488,46.895104,720.413460189361
22.67,1614.369995,80.154251,8.858341,5.836848,35.691479,54.066284,67.046196,6.496,26.382746,113.452415,513.9289,2606190.4807563,6424.703953371,78.470205272281,34.068794575104,1273.88167320744,2923.16306556866,4495.19239807042,42.198016,696.049286500516
23.049999,1588.219971,80.125061,9.032812,6.032716,35.523724,53.753052,66.131844,6.27,26.429459,113.216148,531.302453900001,2522442.67628324,6420.02540025372,81.591692627344,36.393662336656,1261.93496682818,2889.3905993147,4373.42079084034,39.3129,698.516303032681
22.959999,1591,81.409256,8.897993,6.081682,36.105923,53.933395,65.450752,6.644,26.541567,114.047775,527.161554080001,2531281,6627.46696247354,79.174279428049,36.986855949124,1303.63767568193,2908.81109622602,4283.8009373655,44.142736,704.454778815489
22.82,1638.01001,82.411308,9.397614,6.111062,35.277039,53.696102,65.693321,6.862,26.80315,115.011742,520.7524,2683076.7928602,6791.62368627086,88.315148892996,37.345078767844,1244.46948060752,2883.2713699944,4315.61242400904,47.087044,718.4088499225
22.85,1640,83.082581,9.51657,6.18941,35.730953,54.151718,67.708633,6.862,26.812496,115.503151,522.1225,2689600,6902.71526562156,90.5651045649,38.3087961481,1276.70100228821,2932.40856235152,4584.45898272869,47.087044,718.909941750016
23.129999,1622.650024,82.382118,9.627597,6.169823,35.632275,54.199177,67.344765,6.994,26.522881,115.503151,534.996853740001,2632993.1003872,6786.81336616592,92.690623994409,38.066715851329,1269.65902167562,2937.55078747733,4535.31737290522,48.916036,703.463216540161
23.68,1607.949951,83.06311,9.778275,6.18941,34.586296,54.341557,67.960533,6.12,27.195528,117.23259,560.7424,2585503.0449209,6899.4802428721,95.614661975625,38.3087961481,1196.21187099962,2953.00481718425,4618.63404564409,37.4544,739.596743198784
23.950001,1627.579956,82.275101,9.667248,6.042509,35.000744,55.338211,68.995949,6.764,27.214212,117.790146,573.602547900001,2649016.51317296,6769.1922445602,93.455683893504,36.511915015081,1225.05208055354,3062.31759668052,4760.4409784106,45.751696,740.613334780944
23.950001,1622.099976,82.537773,9.698971,5.973955,34.596169,55.860271,68.440605,6.734,27.475798,118.60289,573.602547900001,2631208.3321392,6812.48397179953,94.070038458841,35.688138342025,1196.89490947656,3120.36987619344,4684.11641276603,45.346756,754.919475736804
23.92,1619.439941,81.671921,9.540361,6.022923,34.517223,55.783684,67.800514,7.126,27.363693,118.158722,572.1664,2622585.72250608,6670.30267983024,91.018488010321,36.275601463929,1191.43868363173,3111.81940061186,4596.9096986642,50.779876,748.771694598249
24.360001,1631.560059,82.459953,9.913093,6.111062,35.020473,56.310215,68.007607,7.97,27.167503,118.886406,593.409648720001,2661988.22612408,6799.64384876221,98.269412826649,37.345078767844,1226.43352914373,3170.84031334622,4625.03460986645,63.5209,738.073219255009
24.709999,1633,82.858818,9.952746,6.022923,35.425053,56.070881,68.807693,7.81,27.345007,118.574539,610.584050580001,2666689,6865.58372035712,99.057152940516,36.275601463929,1254.93438005281,3143.94369611616,4734.49861598225,60.9961,747.749407830049
24.209999,1636.400024,83.471725,9.928955,5.993542,35.770424,55.764538,68.045242,7.376,27.363693,117.620049,586.124051580001,2677805.0385472,6967.52887447563,98.584147392025,35.922545705764,1279.52323313978,3109.68369835344,4630.15495883856,54.405376,748.771694598249
23.48,1641.089966,83.83168,9.905164,5.993542,35.217827,55.218857,68.732391,7.274,27.58791,117.610588,551.3104,2693176.27650588,7027.7505716224,98.112273866896,35.922545705764,1240.29533860193,3049.12216838645,4724.14157257688,52.911076,761.0927781681
23.530001,1639.829956,83.403625,9.897233,5.964162,35.158623,55.295441,68.37471,7.276,27.306206,117.109726,553.660947060001,2689042.28459496,6956.16466314063,97.955221056289,35.571228362244,1236.12877125613,3057.58579538448,4675.1009675841,52.940176,745.628886114436
23.68,1671.72998,85.012993,9.825859,5.983749,34.181721,55.372032,68.657089,7.734,27.522177,117.742897,560.7424,2794681.1260308,7227.20897881805,96.547505087881,35.805252095001,1168.39005052184,3066.06192780902,4713.79586995392,59.814756,757.470226819329
23.370001,1696.170044,83.530411,9.84965,5.954369,33.273899,54.146648,68.402954,7.6,27.259256,117.213669,546.156946740001,2876992.81816296,6977.32956182892,97.0156051225,35.454510188161,1107.1523546622,2931.8594896359,4678.96411592612,57.76,743.067037673536
23.5,1692.430054,83.33535,10.039982,6.032716,32.790375,54.673183,71.537399,7.272,27.306206,116.580505,552.25,2864319.48768244,6944.7805596225,100.801238560324,36.393662336656,1075.20869264062,2989.15693935149,5117.5994556852,52.881984,745.628886114436
22.41,1668.949951,83.03299,9.905164,5.973955,32.326591,53.754143,72.384567,7.026,27.080843,114.425812,502.2081,2785393.9389429,6894.4774283401,98.112273866896,35.688138342025,1045.00848568128,2889.50788966445,5239.52553977749,49.364676,733.372057590649
22.08,1625.949951,83.159782,9.992399,5.905402,31.793741,53.016998,71.697426,6.702,26.808537,113.1689,487.5264,2643713.2431569,6915.54934228753,99.848037775201,34.873772781604,1010.84196677508,2810.802076932,5140.52089502547,44.916804,718.697656080369
22.01,1620.800049,82.711105,9.984468,5.944575,31.487839,52.624493,71.358566,6.48,26.90243,113.083847,484.4401,2626992.7988384,6841.12689032103,99.689601243024,35.337971930625,991.484004889921,2769.33726350705,5092.04494157636,41.9904,723.7407399049
22.959999,1670.619995,83.705994,10.301687,6.013129,31.625986,53.064865,71.79155,6.856,27.174744,114.851082,527.161554080001,2790971.1676938,7006.69343152804,106.124755045969,36.157720370641,1000.2029904722,2815.87989746822,5154.0266514025,47.004736,738.466711465536
23.49,1673.099976,83.3256,10.34927,6.071889,30.510937,52.902111,71.706841,6.852,27.174744,114.851082,551.7801,2799263.5296912,6943.15561536,107.1073895329,36.867836028321,930.917276617969,2798.63334825632,5141.87104619928,46.949904,738.466711465536
23.379999,1690.810059,83.813278,10.531672,6.013129,31.418764,53.696701,72.591644,6.736,27.503399,115.266891,546.624353240001,2858838.65561558,7024.66556910528,110.916115115584,36.157720370641,987.138731287696,2883.3356982834,5269.54677862274,45.373696,756.436956553201
22.82,1686.219971,84.730125,10.428574,6.091475,31.704929,54.022194,71.998627,6.726,27.663027,114.822716,520.7524,2843337.79059924,7179.19408251563,108.755155673476,37.106067675625,1005.20252289504,2918.39744457364,5183.80228988513,45.239076,765.243062802729
23.290001,1712.359985,84.66185,10.468226,6.257963,31.014189,54.194515,72.158653,6.578,27.512785,115.049545,542.424146580001,2932176.7182292,7167.6288454225,109.583755587076,39.162100909369,961.879919327721,2937.04545608523,5206.87120277441,43.270084,756.953338456225
23.25,1742.150024,85.656715,10.531672,6.199203,30.964851,54.902935,73.307022,6.72,28.001068,115.852806,540.5625,3035086.7061232,7337.07282459123,110.916115115584,38.430117835209,958.821997452201,3014.33227161422,5373.91947450848,45.1584,784.059809140624
26,1761.849976,85.529922,10.86475,6.21879,31.17207,54.682751,73.852959,7.052,27.841434,114.784912,676,3104115.3379312,7315.36755732608,118.0427925625,38.6733490641,971.6979480849,2990.203256928,5454.25955305568,49.730704,775.145447176356
25.700001,1797.27002,84.55455,10.69821,6.160029,30.550407,54.117924,72.986992,7.14,26.89304,113.75705,660.490051400001,3230179.5247908,7149.4719257025,114.4516972041,37.945957280841,933.327367865649,2928.74969806978,5327.10100120806,50.9796,723.2356004416
27.889999,1819.26001,85.842041,10.674419,6.13065,31.033926,54.81678,74.822479,6.528,26.461105,114.801064,777.852044220001,3309706.9839852,7368.85600304568,113.943220987561,37.5848694225,963.104562973476,3004.8793695684,5598.40336370544,42.614784,700.190077821025
26.370001,1764.77002,80.165413,10.166869,5.758501,30.165565,54.012619,73.721176,6.29,25.362471,111.023705,695.376952740001,3114413.2234908,6426.49344146057,103.365225263161,33.160333767001,909.961311769225,2917.36301123916,5434.81179082298,39.5641,643.254935225841
25.969999,1774.26001,80.301949,10.19859,5.748708,29.810328,54.232807,73.918854,6.34,25.202837,111.488754,674.440848060001,3147998.5830852,6448.4030131986,104.0112379881,33.047643669264,888.655655467584,2941.19735509925,5463.99697667332,40.1956,635.182992848569
25.690001,1783.76001,81.326073,10.325479,5.699741,29.810328,49.503586,74.954262,6.234,25.550268,112.912376,659.976151380001,3181799.7732752,6613.93014960133,106.615516579441,32.487047467081,888.655655467584,2450.6050268594,5618.14139196464,38.862756,652.816194871824
24.889999,1765.699951,81.043236,10.047912,5.699741,30.530672,48.498394,75.133102,6.21,25.38125,112.997787,619.512050220001,3117696.3169614,6568.0061013517,100.960535559744,32.487047467081,932.121932771584,2352.09422057924,5644.9830161424,38.5641,644.2078515625
25.059999,1773.420044,81.969826,10.016191,5.572428,30.491201,48.192047,75.603752,6.474,25.662949,113.804527,628.003549880001,3145018.65246096,6719.05237447028,100.324082148481,31.051953815184,929.713338422401,2322.47339405021,5715.9273164775,41.912676,658.586951376601
25.52,1780.75,82.135643,10.357202,5.601807,31.339825,48.555836,75.547264,6.606,25.907093,113.795029,651.2704,3171070.5625,6746.26385102345,107.271633268804,31.380241665249,982.184631030625,2357.6692096589,5707.3890978857,43.639236,671.177467710649
26.360001,1814.189941,83.130531,10.769584,5.650774,31.922018,49.963108,75.2743,7.104,26.799147,115.304077,694.849652720001,3291285.14202558,6910.68518434196,115.983939533056,31.931246799076,1019.01523319232,2496.31216101966,5666.22024049,50.466816,718.194279927609
26.75,1813.97998,82.291702,10.682351,5.689948,32.553551,50.135429,74.79425,6.976,27.109015,114.820038,715.5625,3290523.3678408,6771.9242180568,114.112622887201,32.375508242704,1059.7336827096,2513.56124101404,5594.1798330625,48.664576,734.898694270225
29.02,1820.699951,82.389252,10.579254,5.778088,33.264027,50.920437,74.653069,6.856,27.080843,115.095268,842.1604,3314948.3115714,6787.9888451195,111.920615196516,33.386300935744,1106.49549225673,2592.89090427097,5573.08071111876,47.004736,733.372057590649
29.09,1818.859985,83.179291,10.682351,5.778088,33.481113,50.834282,76.601501,7.124,27.371937,116.177208,846.2281,3308251.6450342,6918.79445126268,114.112622887201,33.386300935744,1120.98492771877,2584.12422645552,5867.789955453,50.751376,749.222935131969
28.98,1837.280029,83.296333,10.618906,5.797675,33.609398,50.805565,76.187355,7.248,27.306206,117.335106,839.8404,3375597.90496224,6938.27909124689,112.761164636836,33.613035405625,1129.5916339224,2581.20543496923,5804.51306189602,52.533504,745.628886114436
28.530001,1849.859985,82.642838,10.959916,5.836848,33.431774,50.269451,77.119209,7.372,27.390713,117.192741,813.960957060001,3421981.9641042,6829.83867269424,120.119758727056,34.068794575104,1117.68351278708,2527.0177038414,5947.37239678568,54.346384,750.251158648369
27.24,1835.839966,82.203918,10.761654,5.738915,32.86932,49.685486,75.92379,7.022,27.127796,115.721672,742.0176,3370308.38076288,6757.48413455072,115.813196815716,32.935145377225,1080.3921972624,2468.6475190562,5764.4218879641,49.308484,735.917315817616
27.83,1847.329956,82.789131,10.753725,5.729121,33.569923,50.039696,76.008514,7.026,27.296816,117.230713,774.5089,3412627.96633496,6854.04021173516,115.642601375625,32.822827432641,1126.93973022593,2503.97117577242,5777.2942004882,49.364676,745.116163737856
27.790001,1844.069946,82.906174,10.626838,5.748708,34.349476,50.231163,75.726105,6.69,27.296816,117.221214,772.284155580001,3400593.96574044,6873.43368731827,112.929685878244,33.047643669264,1179.88650147458,2523.16973633257,5734.44297847103,44.7561,745.116163737856
