"AMD.Adjusted","AMZN.Adjusted","NKE.Adjusted","VALE.Adjusted","NOK.Adjusted","AAL.Adjusted","CCL.Adjusted","TGT.Adjusted","DQ.Adjusted","BAC.Adjusted","IWS.Adjusted","IWN.Adjusted"
27.969999,1923.77002,85.276321,10.444436,5.680154,33.520588,51.456551,77.335709,7.578,28.235817,84.431068,117.686272
28.459999,1901.75,86.212669,9.960677,5.670361,33.540321,51.437401,78.013428,7.59,28.188871,84.544586,117.989967
27.66,1902.25,85.403122,10.055842,5.190486,32.967991,51.533134,76.940361,7.492,28.245211,84.014778,116.727699
27.879999,1950.630005,86.134644,10.166869,5.249247,32.622627,52.097958,72.591644,7.476,28.498739,84.525665,117.743202
27.690001,1938.430054,86.085884,10.135147,5.210073,33.323235,52.107536,73.23172,7.398,28.893122,84.506752,118.331642
27.629999,1926.52002,85.666489,10.135147,5.170899,33.72781,52.519188,72.874031,7.41,28.714708,84.866264,117.999466
26.809999,1911.52002,83.784019,9.817928,5.112138,33.46138,53.438221,71.226784,7.428,28.41423,84.052612,117.107323
28.290001,1900.819946,83.169525,9.802067,5.082759,33.500851,52.011803,71.932747,7.596,28.639591,84.06208,117.401543
28.219999,1962.459961,83.588936,10.143078,5.072966,34.329739,52.825531,71.480927,7.652,28.836777,84.904114,119.603416
27.42,1950.550049,81.511421,9.928955,5.033792,34.290268,52.509609,71.518585,7.134,28.611416,84.535141,119.64138
26.66,1921,80.506775,9.905164,4.935858,33.557949,51.389538,70.633781,7.146,28.094969,83.305191,117.600845
27.09,1917.77002,80.73111,9.85758,4.877098,33.399609,51.715027,70.982056,7.038,27.982286,82.983505,116.851067
27.209999,1899.869995,80.935951,9.714831,4.847718,33.597534,51.638439,70.699677,6.744,27.897776,82.992973,116.518898
27.959999,1889.97998,81.882042,9.889301,4.828131,33.637119,52.02137,70.257263,6.882,27.775703,83.447105,117.088341
26.24,1822.680054,80.497032,9.500709,4.720404,31.806324,50.527935,67.471077,6.48,26.526834,81.706253,113.785545
27.32,1840.119995,81.60894,9.548292,4.671437,32.00425,51.523556,67.680031,6.68,26.874262,82.359085,115.104759
27.58,1871.150024,81.940575,9.51657,4.671437,31.82612,51.494843,67.252625,6.976,26.564392,82.482079,115.20916
28.01,1907.569946,82.203918,9.127977,4.857512,31.984455,51.628864,67.224144,7.25,26.846092,83.021355,115.750137
27.5,1869,82.486786,9.191421,4.837924,31.410479,51.389538,67.328606,6.554,26.667683,82.396919,114.241096
26.68,1858.969971,80.809158,9.048672,4.975031,30.638577,50.145004,68.458824,6.228,26.667683,81.89547,113.49131
27.35,1857.52002,81.579689,9.286587,4.994618,30.975044,50.413055,68.344864,7.176,26.939993,82.756454,114.6492
27.41,1859.680054,81.150536,9.318309,5.079776,29.609373,50.384335,73.663521,7.71,26.752195,82.321236,113.434372
26.360001,1815.47998,80.604317,9.350031,4.921342,29.193733,49.891415,75.411087,7.288,26.066721,81.365662,111.317932
26.440001,1823.280029,80.136139,9.532432,5.069874,28.867159,49.881752,77.472054,7.312,26.461105,81.526497,112.162598
29.049999,1836.430054,79.199791,9.833788,4.960951,28.431726,49.533802,76.712257,7.314,26.198177,80.580383,111.052177
28.09,1819.189941,76.927193,9.881372,4.990657,28.115051,49.872086,75.63903,7.19,26.057327,80.031639,110.378334
28.030001,1816.319946,77.307579,9.936885,5.040168,27.877541,49.823757,76.351349,7.552,25.503317,80.012711,109.704468
27.41,1775.069946,75.449226,9.889301,5.00056,26.9473,49.475807,76.408325,7.6,24.977478,79.407196,108.328308
27.58,1692.689941,76.251251,9.897233,4.941147,26.917614,49.408157,78.782745,8.614,25.052597,79.993805,109.191963
29.57,1729.560059,79.831032,10.02412,4.980756,28.81768,50.529312,81.537056,8.428,26.216963,81.479202,111.697563
29.5,1738.5,80.906921,9.841721,5.00056,30.044806,49.18586,81.195145,8.376,26.207573,82.084702,111.336906
31.82,1754.359985,80.642838,9.936885,4.970853,30.064596,49.446815,81.394577,8.292,26.320858,82.434769,111.374855
32.41,1804.030029,81.581802,9.936885,5.030266,30.598991,50.480988,82.486816,8.476,25.990437,82.63343,111.688065
33.23,1860.630005,80.769997,9.84965,4.931245,30.440653,51.399174,83.151649,9.144,26.500237,82.794289,112.257515
32.41,1863.699951,81.435081,10.515811,5.109482,30.26252,51.389507,83.436569,9.008,26.66073,82.822678,112.248024
32.18,1855.319946,80.818893,10.492018,5.05007,30.777122,51.602139,83.825966,8.794,26.386948,82.690216,112.05822
31.389999,1870.300049,81.77742,10.650628,5.030266,32.74646,51.080227,83.863968,9.102,26.377506,83.248421,113.130661
30.360001,1869.670044,81.611137,10.404783,4.901538,32.340721,51.341179,83.37957,9.096,26.471912,83.106499,112.428345
29.200001,1886.030029,80.310295,10.206521,4.921342,32.221966,50.529312,82.762245,8.36,26.368065,83.028542,112.508469
30.450001,1901.369995,82.452293,10.674419,4.960951,32.182381,50.625969,82.125908,8.546,27.019476,83.73217,113.796074
30.5,1908.790039,81.718727,10.737864,4.990657,32.865215,51.070557,81.831482,8.824,26.736256,84.102997,114.120361
30.01,1918.189941,83.371681,10.872682,5.119385,31.816223,47.165848,81.878952,8.602,26.689054,84.778107,114.616333
29.1,1911.300049,83.870522,10.729933,5.109482,31.242243,45.068516,83.19912,8.468,26.547441,84.473824,113.929596
29.26,1913.900024,82.647896,10.817168,4.990657,31.489647,44.45961,82.363335,8.514,26.415268,84.083984,112.394012
28.860001,1878.27002,80.809105,10.571323,4.941147,30.935459,43.928028,81.394577,7.984,26.207573,83.532478,112.098335
29.92,1897.829956,80.740631,10.658558,4.970853,31.133383,43.860371,81.290108,8.192,26.349184,83.199699,111.821739
